瘤痢,瘤痢疙,老矫,乞闭扁柯(∑C),弥历扁柯(∑C),弥绊扁柯(∑C),老碍荐樊(mm),乞闭 浅加(m/s),乞闭 惑措嚼档(%)
143,措备,2023-09-08,23.3,18.1,29,,1.9,67.5
143,措备,2023-09-09,23.4,17.3,29.5,,2.2,68.1
143,措备,2023-09-10,24,17.6,30.9,,2,69.8
143,措备,2023-09-11,25.6,20.3,31.4,,1.6,68.9
143,措备,2023-09-12,26.1,22.3,30.6,,1.3,74.6
143,措备,2023-09-13,24.7,22.4,28.4,4,2,84.1
143,措备,2023-09-14,22.6,21.4,24.5,6.7,2.4,89.5
143,措备,2023-09-15,22.8,21.3,24.9,11.2,1.4,92.3
143,措备,2023-09-16,23.1,22.2,24.5,25.1,1.5,94.6
143,措备,2023-09-17,24.6,21.9,27.9,13.2,1.2,87
143,措备,2023-09-18,26.1,22.7,32.8,0,1.4,76.8
143,措备,2023-09-19,25.2,21.8,29.5,0,1.6,71.4
143,措备,2023-09-20,22,20.8,24.9,36.6,2.1,89.4
143,措备,2023-09-21,19.5,18.2,21.2,3.4,2.3,91
143,措备,2023-09-22,21.1,17.8,26.5,,1.5,73.1
143,措备,2023-09-23,19.9,15.3,25.3,,2,74
143,措备,2023-09-24,20.4,15.5,25.3,,2.5,66.3
143,措备,2023-09-25,21.1,18.1,24.9,.9,2,78.4
143,措备,2023-09-26,20.8,20.1,21.7,17.9,1.3,95
143,措备,2023-09-27,23.8,21,29.2,,1.3,79.6
143,措备,2023-09-28,23.6,19.6,28.8,,2.3,69.8
143,措备,2023-09-29,21.8,16.7,26.8,,1.1,74.6
143,措备,2023-09-30,20,15.7,25.1,3.5,2.2,71.6
143,措备,2023-10-01,19.2,13.9,24.4,,2.2,59.1
143,措备,2023-10-02,17.6,11.8,24.3,,1.4,62.3
143,措备,2023-10-03,16.1,11.6,20.5,.5,1,81.6
143,措备,2023-10-04,19.1,13.7,24.8,,1.9,69.8
143,措备,2023-10-05,16.7,13.6,21.2,,3.6,38.6
143,措备,2023-10-06,16.5,10.8,23.2,,1.3,53.5
143,措备,2023-10-07,17.1,12.3,21.7,,1.9,68.5
143,措备,2023-10-08,17.3,15.2,20.5,0,1.7,70.8
143,措备,2023-10-09,18.3,15.6,22.8,1,.9,73.1
143,措备,2023-10-10,17.6,13.6,23,,1.8,69
143,措备,2023-10-11,16.2,11.1,23,,1.7,67.9
143,措备,2023-10-12,16,8.8,23.8,,1.4,66.4
143,措备,2023-10-13,17.7,12.2,23.2,,1.1,68
143,措备,2023-10-14,17.1,13,24,.2,1.3,76.3
143,措备,2023-10-15,16.6,12.8,22.4,,2.2,68.5
143,措备,2023-10-16,16,10.9,21.8,,1.7,64
143,措备,2023-10-17,15,9.7,22.6,,2,52.5
143,措备,2023-10-18,15.1,6.8,24.8,,1,63.8
143,措备,2023-10-19,16.4,10.4,22.7,.8,1.2,71
143,措备,2023-10-20,13.8,10.6,17.9,3.2,3.9,54.3
143,措备,2023-10-21,12.1,5.5,18.6,,2.5,53.3
143,措备,2023-10-22,12.6,5.3,19.7,,1.9,60.4
143,措备,2023-10-23,14.2,8.1,21.8,,1.1,70.1
143,措备,2023-10-24,14.7,8,23,,1.2,69
143,措备,2023-10-25,15.9,10,24.2,,1.2,71.4
143,措备,2023-10-26,16.2,9.8,24,,1.1,75.3
143,措备,2023-10-27,14.7,10.7,19.5,0,1.6,73.4
143,措备,2023-10-28,13.9,7.5,21,,1.6,69.9
143,措备,2023-10-29,13.7,7.4,21.8,,1.5,70.4
143,措备,2023-10-30,14.5,7.7,23.1,,1.2,70
143,措备,2023-10-31,14.9,7.5,24.8,,1.2,64.1
143,措备,2023-11-01,15.7,7.2,24.3,,.8,68.1
143,措备,2023-11-02,17.7,11.8,27.3,,.8,72.1
143,措备,2023-11-03,18.6,11.3,26.6,,1.3,65.4
143,措备,2023-11-04,18.4,14.2,23.7,.1,2.7,75.8
143,措备,2023-11-05,19.8,16.9,23.3,1.6,2.4,77.9
143,措备,2023-11-06,18.4,13,22.4,8.2,4,59.5
143,措备,2023-11-07,11.4,6.5,15.7,,4.8,41.1
143,措备,2023-11-08,9.5,2.1,19,,1.2,58.5
143,措备,2023-11-09,13.7,5.3,20.9,.1,1.2,71
143,措备,2023-11-10,10.3,5,15.4,10.9,3.7,49.9
143,措备,2023-11-11,5.9,.6,10.7,,2.4,44.8
143,措备,2023-11-12,4.8,2.5,8.8,,4,48.3
143,措备,2023-11-13,5.3,1.3,10.2,,3.4,41.1
143,措备,2023-11-14,7.3,3.4,12.5,,2.7,55.1
143,措备,2023-11-15,7.4,1.5,14.7,,1.5,63.6
143,措备,2023-11-16,5.5,2.2,9.7,9.9,1.4,85.5
143,措备,2023-11-17,6,2.6,10.7,0,3.3,59
143,措备,2023-11-18,3.4,-1.7,8,.7,5.6,57.9
143,措备,2023-11-19,8.7,.9,15,,2.5,57.3
143,措备,2023-11-20,8.5,2.6,15.7,,2.2,45.9
143,措备,2023-11-21,7.3,0,16.6,,1.1,59.1
143,措备,2023-11-22,9,2.2,18.1,,1.2,67.4
143,措备,2023-11-23,13.6,7.8,21.6,,2.7,54.1
143,措备,2023-11-24,3.9,-.2,9.4,,5.2,36.6
143,措备,2023-11-25,1.3,-2.1,7.6,,2.1,31
143,措备,2023-11-26,4.8,-2.4,10.4,0,1.1,45.3
143,措备,2023-11-27,8.2,4.6,13.9,.1,1.2,71.4
143,措备,2023-11-28,6.2,3.4,9.4,,3.5,47
143,措备,2023-11-29,5,1.8,7.9,,2.6,57
143,措备,2023-11-30,.2,-2.2,3.4,,4.1,41.8
143,措备,2023-12-01,1.2,-1.6,5.5,,4.1,47.4
143,措备,2023-12-02,3.9,-3.8,10.2,,1.8,55.5
143,措备,2023-12-03,4.5,-.9,10.5,,1.9,47.3
143,措备,2023-12-04,3.8,-3.7,12.1,,1,51.9
143,措备,2023-12-05,5.5,-.7,14.1,,.9,51.5
143,措备,2023-12-06,5.7,-1.6,11.3,.9,1.4,68.1
143,措备,2023-12-07,7.6,2.5,13.4,,2.7,40.4
143,措备,2023-12-08,9.2,-.1,19.8,,1.4,64.5
143,措备,2023-12-09,12.1,7,20,,.8,76.4
143,措备,2023-12-10,11.2,4.6,17.1,,2.6,76.6
143,措备,2023-12-11,12.4,10.1,13.8,31.2,2.3,88.6
143,措备,2023-12-12,9.2,7.4,12,.9,2.7,72
143,措备,2023-12-13,8,2.4,12.9,,1.4,76.4
143,措备,2023-12-14,9.2,6.3,10.9,23.3,1.9,88.5
143,措备,2023-12-15,8.6,6,10.5,31.5,2.8,94.3
143,措备,2023-12-16,2.4,-3,7.6,.1,5.5,59
143,措备,2023-12-17,-5.1,-7.2,-1.4,,4.6,43.8
143,措备,2023-12-18,-2.8,-6.6,0,,3.5,43.1
143,措备,2023-12-19,.3,-2.6,3.6,,1.6,39.4
143,措备,2023-12-20,-2.3,-6.6,.6,.1,3.8,59.9
143,措备,2023-12-21,-6.4,-8.6,-2.6,,4.1,46.5
143,措备,2023-12-22,-6.4,-9.7,-2.8,,4.4,44.4
143,措备,2023-12-23,-3.1,-7.7,2,,2.6,51.3
143,措备,2023-12-24,-1.3,-5.4,4.7,,1.4,65.4
143,措备,2023-12-25,.2,-4.1,5.6,,1.7,64.9
143,措备,2023-12-26,1.8,-4.8,9.6,,1.3,67.4
143,措备,2023-12-27,3.8,-.9,11.3,,1,63.1
143,措备,2023-12-28,3.5,-3,10.6,,1.7,63.1
143,措备,2023-12-29,3.1,-2.9,9.5,,1.6,65.8
143,措备,2023-12-30,2.9,-2.9,7.7,.7,1.2,75.8
143,措备,2023-12-31,4.6,1.4,7.9,1.2,2.4,80.1
143,措备,2024-01-01,3.9,-1.7,10.2,,1.2,74.9
143,措备,2024-01-02,6.1,2.5,10.6,,1.8,64
143,措备,2024-01-03,4.1,1.8,7.1,4.2,3.3,70.3
143,措备,2024-01-04,3,-1.9,9.2,,2,54.6
143,措备,2024-01-05,4.6,-2.5,12.5,,1.4,68
143,措备,2024-01-06,3.7,0,9,,2.5,50.5
143,措备,2024-01-07,.5,-2.8,2.8,,4.5,44
143,措备,2024-01-08,-1.6,-6.4,4.9,,1.8,40.9
143,措备,2024-01-09,.2,-5.6,5.7,1.3,1,60.1
143,措备,2024-01-10,2.8,-.1,7.4,0,1.6,77.6
143,措备,2024-01-11,1.7,-2.9,7.3,,2.2,66.9
143,措备,2024-01-12,3.7,-1.6,10.3,,2.2,50.3
143,措备,2024-01-13,2.9,-1.5,8.7,,2.8,35.6
143,措备,2024-01-14,4.9,-4.5,14.6,.3,2.1,61.4
143,措备,2024-01-15,2.1,-.9,6.5,,3.7,40.1
143,措备,2024-01-16,1,-5.2,7.8,,1.5,42.9
143,措备,2024-01-17,3.3,-1.9,6.7,1,.9,68.8
143,措备,2024-01-18,6.3,4.5,7.3,2.7,1.9,83.1
143,措备,2024-01-19,6,4.9,7.2,0,3.6,70.6
143,措备,2024-01-20,5.4,3.7,7.4,11,2.8,86.6
143,措备,2024-01-21,5.5,3.1,8.3,.8,1.4,82.9
143,措备,2024-01-22,-1.5,-6.4,4.5,.1,5.6,53.6
143,措备,2024-01-23,-6.2,-8.8,-2.1,,5.5,47
143,措备,2024-01-24,-5,-8.7,-.1,,4.4,49
143,措备,2024-01-25,-2.2,-7,3.7,,3.2,38.3
143,措备,2024-01-26,1.6,-2.7,7.1,,3.3,47
143,措备,2024-01-27,3,-3.1,9.1,,2.5,48.8
143,措备,2024-01-28,2,-2.3,6.7,,2.6,52.9
143,措备,2024-01-29,.4,-5.2,7.8,,1.5,58.5
143,措备,2024-01-30,2.2,-5.7,11,,1,59.1
143,措备,2024-01-31,7.9,2.7,15.4,0,1.1,53.3
143,措备,2024-02-01,6.3,3.5,9.1,0,3,62.9
143,措备,2024-02-02,5.4,3.2,9.3,,3,71.5
143,措备,2024-02-03,5.9,4.4,8.4,2.1,2.7,78.5
143,措备,2024-02-04,5.9,3.9,8.8,1.9,2.3,83.6
143,措备,2024-02-05,5.4,3.5,6.9,12,3.5,82.9
143,措备,2024-02-06,3.5,1.2,5.3,0,2.2,75.5
143,措备,2024-02-07,3.7,.5,8,,2.1,57.1
143,措备,2024-02-08,2.6,-2.6,9.6,,1.5,61.6
143,措备,2024-02-09,3.3,-2.3,9.7,,2.2,54.1
143,措备,2024-02-10,3.8,-1.4,9.2,,2.5,53.4
143,措备,2024-02-11,3.1,-2.5,8.2,,2.5,59.3
143,措备,2024-02-12,4.3,-2.8,13.5,,1.3,52.4
143,措备,2024-02-13,8.3,-.9,18.2,,1.5,61.3
143,措备,2024-02-14,10.6,5.1,19.2,.8,.8,81.5
143,措备,2024-02-15,8.5,3.4,17.8,,2.8,77.3
143,措备,2024-02-16,4.6,.3,10,,1.6,58.3
143,措备,2024-02-17,5.8,-2,15.4,,1.1,60.9
143,措备,2024-02-18,8.2,-1.3,14.5,5.1,1.4,76.5
143,措备,2024-02-19,14.7,12.3,18.8,14.4,2.1,88.9
143,措备,2024-02-20,7.5,5.5,13,3.9,4.1,86
143,措备,2024-02-21,5.1,3.6,,4.9,4.3,88.8
143,措备,2024-02-22,3,2,4.5,1.6,3.2,82.5
143,措备,2024-02-23,3,1.2,5.5,.3,2.6,70.6
143,措备,2024-02-24,3.6,1.9,6.4,1.3,2.8,65.8
143,措备,2024-02-25,4.2,1.5,8.3,1.7,2,81.6
143,措备,2024-02-26,5.1,2.7,9.3,,2.1,67.3
143,措备,2024-02-27,2.6,-1,6.7,,1.8,69.1
143,措备,2024-02-28,4.6,-2.4,10.9,,1.4,65.5
143,措备,2024-02-29,4.1,3.1,5.8,6.8,1.7,85.9
143,措备,2024-03-01,.5,-4,4,,5.2,35.1
143,措备,2024-03-02,.5,-5.5,7,,3.1,40.1
143,措备,2024-03-03,6.3,1,12,0,2.8,53
143,措备,2024-03-04,7.7,-.2,13.9,0,1.2,55.6
143,措备,2024-03-05,6.6,5.4,9.3,8,2.2,86.1
143,措备,2024-03-06,6.9,4.8,10,0,2,70.6
143,措备,2024-03-07,5.9,3.6,9.7,0,2.7,60.8
143,措备,2024-03-08,4.7,1.4,10.2,,4.7,38.5
143,措备,2024-03-09,3.9,-.6,10.5,,2.5,40.9
143,措备,2024-03-10,5.4,-2.9,13.9,,1.5,47.5
143,措备,2024-03-11,8,.9,13.4,,1.5,51.1
143,措备,2024-03-12,6.7,2.1,12.1,0,1.7,72.6
143,措备,2024-03-13,7.8,.6,16.1,,2.4,55.1
143,措备,2024-03-14,9.7,1.6,18.1,,1.9,37.6
143,措备,2024-03-15,12,1.7,21.1,,2.4,37.9
143,措备,2024-03-16,14.1,4.4,22.1,0,1.7,37.4
143,措备,2024-03-17,13.6,8.3,18.8,,3.7,37.8
143,措备,2024-03-18,9.9,2.7,17.4,,1.9,42.1
143,措备,2024-03-19,9.9,5.9,16.3,.3,3.7,46.1
143,措备,2024-03-20,6.7,4,11.1,,5,34.6
143,措备,2024-03-21,6.4,.4,13.1,,2.6,43.3
143,措备,2024-03-22,10,2,16.1,.2,2.7,59.9
143,措备,2024-03-23,16,11.1,24.1,.3,2.6,61.5
143,措备,2024-03-24,10.9,10.1,12.3,.3,4.3,72.9
143,措备,2024-03-25,9.5,7,12.4,16.2,3.5,81.8
143,措备,2024-03-26,7.9,5.8,11.1,17.3,1.8,80.6
143,措备,2024-03-27,10,2.2,17,,1.4,70.9
143,措备,2024-03-28,9.2,8.2,11,27,1.8,90.3
143,措备,2024-03-29,13.1,5.1,20.1,,3.3,57.1
143,措备,2024-03-30,11.3,3.9,18.8,1.3,1.7,53.6
143,措备,2024-03-31,13.2,8,19.9,,1.5,41.6
143,措备,2024-04-01,14.6,5.3,24,,1.7,44.9
143,措备,2024-04-02,15.7,7.4,24.6,2.9,1.5,51.3
143,措备,2024-04-03,12.1,11.3,13.4,29.4,2.7,94.8
143,措备,2024-04-04,12.4,10.6,15.7,,3.7,64.6
143,措备,2024-04-05,14.1,10.6,19.7,,2.1,55
143,措备,2024-04-06,14.6,8.6,21.5,,1.4,59.8
143,措备,2024-04-07,17,8.5,25.5,,1.4,46.8
143,措备,2024-04-08,17.9,11.2,23.4,,1.1,45.1
143,措备,2024-04-09,12.6,8.4,17.4,,4.9,51.5
143,措备,2024-04-10,12.7,4.7,20.4,,1.6,55.9
143,措备,2024-04-11,15.1,10,21,,1.3,56.1
143,措备,2024-04-12,18,10.1,26.2,,1.1,55.1
143,措备,2024-04-13,19.5,10.8,28.4,,1.5,50.3
143,措备,2024-04-14,19.7,10.6,28.2,,2.1,45.6
143,措备,2024-04-15,16.1,15.2,18.3,14.5,2.1,82.6
143,措备,2024-04-16,18,13.7,23.6,,2.4,59.6
143,措备,2024-04-17,17,9.5,24.6,,1.7,52.5
143,措备,2024-04-18,18,10.8,26.7,,1.9,52.5
143,措备,2024-04-19,20.2,11,28.8,,1.6,47.3
143,措备,2024-04-20,15.4,13.9,19.1,4,2.4,78.8
143,措备,2024-04-21,15.5,14.1,17.1,.3,2.9,82.8
143,措备,2024-04-22,15,12.8,17.7,,2.7,70.5
143,措备,2024-04-23,14,11.1,17.7,4.5,4.1,72.8
143,措备,2024-04-24,14.2,10.4,20.7,1.9,2,74.9
143,措备,2024-04-25,18.5,11.6,27,,2.3,53.9
143,措备,2024-04-26,18.4,12.3,25.5,,1.1,62.6
143,措备,2024-04-27,20.9,12.1,30.5,,1.4,53.4
143,措备,2024-04-28,19.3,12.5,28.4,,2.6,60.6
143,措备,2024-04-29,14.6,13.3,16.1,1.6,3.7,84.4
143,措备,2024-04-30,16.5,12.3,22.9,1.5,2.3,79.8
143,措备,2024-05-01,13,9.5,18.1,1.2,3.2,68.8
143,措备,2024-05-02,15.9,6.6,25.1,,1.5,55.3
143,措备,2024-05-03,19.2,9.8,28.4,,1.5,51
143,措备,2024-05-04,20.4,10.2,29.3,,1.7,52.5
143,措备,2024-05-05,18.8,17.4,21.2,12.4,2.2,79.5
143,措备,2024-05-06,20.1,17.2,24.4,7.6,3,69
143,措备,2024-05-07,14.1,10.9,18.4,4.4,2.7,81.9
143,措备,2024-05-08,13,9.6,17.7,1,2.2,70
143,措备,2024-05-09,16.8,6.9,25.6,,2,56.3
143,措备,2024-05-10,19.9,10.5,29.8,,1.5,43.3
143,措备,2024-05-11,19.9,12.8,25.1,4.2,2.2,64
143,措备,2024-05-12,19.3,16.4,24.1,5.6,3,53.9
143,措备,2024-05-13,19,11.2,26.1,,1.8,47.6
143,措备,2024-05-14,20.1,10.7,28.5,,1.5,49.9
143,措备,2024-05-15,18.4,10.6,27.9,16.7,2.4,56.5
143,措备,2024-05-16,15.5,8.5,22.4,2,4.7,53.6
143,措备,2024-05-17,19.1,10,28.4,,1.7,51.8
143,措备,2024-05-18,21.4,12.1,30.6,,1.6,44.6
143,措备,2024-05-19,23,14.6,31.5,,1.7,46.5
143,措备,2024-05-20,21,14.4,29,,2.3,54.9
143,措备,2024-05-21,17.8,14.5,22.8,,4.3,69
143,措备,2024-05-22,21.7,11.8,30.7,,1.8,59.5
143,措备,2024-05-23,25.3,18.3,32.5,,2.2,46.1
143,措备,2024-05-24,21.2,16.8,26.8,,3.7,54.1
143,措备,2024-05-25,19.6,16.6,23.9,,3.7,51.9
143,措备,2024-05-26,20.8,14.2,28,4.7,2.1,70.3
143,措备,2024-05-27,21.5,18.5,24.9,,4.2,48.3
143,措备,2024-05-28,18.6,13.6,24.4,,2.3,56.3
143,措备,2024-05-29,20.9,10.4,29.2,,1.3,51.9
143,措备,2024-05-30,21.6,16.5,27.5,,1.1,59.6
143,措备,2024-05-31,24,19.5,29.8,,2.4,43.5
143,措备,2024-06-01,22,17.3,27.5,,2.5,52.6
143,措备,2024-06-02,20.1,15,26.7,,2.4,61.4
143,措备,2024-06-03,19.4,16.1,25.4,,3.4,63.9
143,措备,2024-06-04,19.8,13.1,26.3,,2.6,56.4
143,措备,2024-06-05,21.4,12.5,28.9,,2.5,51.6
143,措备,2024-06-06,22,16.2,27.9,,1.5,53.3
143,措备,2024-06-07,23.9,16.5,30.3,,1.5,52.5
143,措备,2024-06-08,19.9,18.7,23.2,21.5,1.7,82.9
143,措备,2024-06-09,23.1,18.7,29.4,1.8,1,72.8
143,措备,2024-06-10,26,18.5,33.4,,1.6,60.1
143,措备,2024-06-11,27.5,20.6,34.5,,1.8,54.6
143,措备,2024-06-12,27.9,21.8,33.9,,1.9,49.1
143,措备,2024-06-13,27.7,21.5,35.6,,1.7,51.8
143,措备,2024-06-14,27.5,19.6,35.1,,1.8,51.6
143,措备,2024-06-15,25.4,21.7,32.2,4.3,1.7,68.5
143,措备,2024-06-16,26.2,21.5,31.5,,2.7,54.8
143,措备,2024-06-17,24.8,19.2,30,,1.8,52.4
143,措备,2024-06-18,28.3,19.5,35.4,,2.7,41.6
143,措备,2024-06-19,29.3,21.4,36.8,,1.5,43
143,措备,2024-06-20,25,21.1,28.8,,1.6,54
143,措备,2024-06-21,26.2,21.2,30.8,,1.7,63
143,措备,2024-06-22,23.4,22.3,24.5,21.2,1.6,88.6
143,措备,2024-06-23,26.1,23.4,30,.1,1.8,77.6
143,措备,2024-06-24,26.8,21.8,32.6,,2.2,65
143,措备,2024-06-25,24.8,20.9,29.6,,3.3,48.9
143,措备,2024-06-26,24.8,19.6,30.8,,1.8,52.4
143,措备,2024-06-27,22,18.1,26.2,4.7,1.2,69.4
143,措备,2024-06-28,26,18.2,34.1,,1.2,63.9
143,措备,2024-06-29,24.5,22,29.8,20.3,1.8,80.9
143,措备,2024-06-30,26.2,23.6,31,24.4,1.9,85.3
143,措备,2024-07-01,28,24.4,32.5,0,1.8,66
143,措备,2024-07-02,25.2,21.9,27.9,22.1,2.9,84.8
143,措备,2024-07-03,28.9,24.9,33.9,12.4,2.7,67.9
143,措备,2024-07-04,29,22.9,34.8,,2.1,64
143,措备,2024-07-05,29,26,32.8,.5,2.9,61.6
143,措备,2024-07-06,28.7,24.5,32.9,,1.8,69.1
143,措备,2024-07-07,29,24.6,32.4,7.9,1.6,73.6
143,措备,2024-07-08,27.2,26.2,29.2,2.4,.9,82.4
143,措备,2024-07-09,24.4,22.8,27.2,191.3,1.4,93.8
143,措备,2024-07-10,23.9,22,26.2,65.7,2.3,87.6
143,措备,2024-07-11,24.6,21.7,28.2,24,1.4,83
143,措备,2024-07-12,26.4,22.4,32.7,4.5,1,77.6
143,措备,2024-07-13,25.6,21.8,30.1,.8,2,79
143,措备,2024-07-14,23.7,22.8,25.3,2.6,2.9,87.4
143,措备,2024-07-15,24.3,22.6,26.6,0,2.9,82.3
143,措备,2024-07-16,25.1,22.2,28.8,5.9,1.5,83.6
143,措备,2024-07-17,27.1,23,31.7,0,1.7,78
143,措备,2024-07-18,28.5,26.8,30.7,.9,2.3,72.3
143,措备,2024-07-19,27.3,24.2,30.8,1.9,1.5,77
143,措备,2024-07-20,26.9,24,30.6,22.7,1.5,79.8
143,措备,2024-07-21,29.7,25.9,34.4,2.2,2.4,71.1
143,措备,2024-07-22,30.1,25.9,34.2,,1.9,67.4
143,措备,2024-07-23,30,27.5,32.8,,2.2,66.6
143,措备,2024-07-24,28.6,26.3,31.2,4.4,1.4,79
143,措备,2024-07-25,29.7,25.3,34.8,,1.4,73.1
143,措备,2024-07-26,29.7,26.3,33.4,0,2.3,70.5
143,措备,2024-07-27,29.5,26.4,33.9,0,1.8,73.8
143,措备,2024-07-28,30.5,26.6,35.1,,1.9,67.5
143,措备,2024-07-29,30.7,26.3,35.6,,2.8,62.3
143,措备,2024-07-30,30.3,25.5,35.1,,2.2,64.1
143,措备,2024-07-31,30.6,25.4,36.3,,1.9,66.5
143,措备,2024-08-01,31.6,27.9,35.5,,2,65.5
143,措备,2024-08-02,31.5,27.6,36.3,2.4,1.8,69.9
143,措备,2024-08-03,32.1,27.8,37.2,,1.9,67.9
143,措备,2024-08-04,29.8,27,35.3,,2.2,74.8
143,措备,2024-08-05,28.3,24.4,36,20.6,2.2,78.1
143,措备,2024-08-06,29.2,23.8,35.5,,1.9,72.3
143,措备,2024-08-07,31,26.5,36.6,,1.6,66.8
143,措备,2024-08-08,28.5,24.1,34.1,58,.8,75.1
143,措备,2024-08-09,29.3,24.6,35.5,,2.3,68.3
143,措备,2024-08-10,28.9,24.6,34.2,,2.6,67.5
143,措备,2024-08-11,28.9,24.1,34.4,,2.5,67.6
143,措备,2024-08-12,28.4,23.5,34.5,,2.8,68
143,措备,2024-08-13,28,23.4,33.6,,2.5,67.8
143,措备,2024-08-14,28,23,32.6,,2.7,70.3
143,措备,2024-08-15,28.3,24,34.3,,2.9,69.5
143,措备,2024-08-16,28.7,24.3,33.9,,2.3,67
143,措备,2024-08-17,29.1,24.7,34.5,,2.2,67
143,措备,2024-08-18,29,24.6,34,0,2.7,66
143,措备,2024-08-19,29.6,24.6,35.1,0,2,68
143,措备,2024-08-20,28.8,26.3,33.6,2,2,79.6
143,措备,2024-08-21,28.1,25.6,31.5,3.3,2.1,84
143,措备,2024-08-22,29.7,26,34.4,0,2.2,72.3
143,措备,2024-08-23,30.3,25.1,35.4,,1.9,61.3
143,措备,2024-08-24,30.4,25.4,35.8,,1.6,61.6
143,措备,2024-08-25,28.9,25.4,35.9,0,2,71.4
143,措备,2024-08-26,28.7,25.3,34.4,21.1,2,74.3
143,措备,2024-08-27,26.2,23.7,30.9,10.8,3,80.4
143,措备,2024-08-28,26.6,24.1,29.9,,2.6,68.3
143,措备,2024-08-29,28.1,25,32.8,.1,2.9,66.4
143,措备,2024-08-30,29.5,25.7,34.8,,2.6,61.3
143,措备,2024-08-31,27.6,24.3,33.3,,3,62.8
143,措备,2024-09-01,27.9,22.2,34.3,,1.6,62
143,措备,2024-09-02,27,22.9,31.7,0,1.8,69.4
143,措备,2024-09-03,24.9,21.9,28.8,0,3,65
143,措备,2024-09-04,25.4,19.6,31,,2.4,64
143,措备,2024-09-05,28.4,20.3,35.1,,1.9,58.4
143,措备,2024-09-06,25.4,22.5,29.2,15.7,2.4,83.4
143,措备,2024-09-07,25.4,22.3,30,4.5,1.4,87.6
143,措备,2024-09-08,27.2,24.7,32.3,.1,2.6,79.3
143,措备,2024-09-09,27.5,24.6,32.3,,2.7,73.5
143,措备,2024-09-10,28.9,23,35.6,,.5,68.6
143,措备,2024-09-11,27.1,25.1,31.1,1.4,1.2,81.9
143,措备,2024-09-12,27.5,24.5,32.3,25.7,1.7,82.6
143,措备,2024-09-13,28.9,25,33.8,,1,73.6
143,措备,2024-09-14,28.7,25,34.9,,1.5,74.9
143,措备,2024-09-15,26.5,24.7,29.8,,3.1,80.3
143,措备,2024-09-16,26,24.4,28.5,,2.6,80.3
143,措备,2024-09-17,29.5,24.3,36.1,,1.4,70.6
143,措备,2024-09-18,29.5,25.8,35.8,0,1.6,73.3
143,措备,2024-09-19,29,24.5,34,,1.3,72.4
143,措备,2024-09-20,26.2,25.2,28.2,16.4,1.2,90.5
143,措备,2024-09-21,21.2,19.7,25.4,87.6,3.1,95.6
143,措备,2024-09-22,22.1,19.9,25.4,0,2.4,75.8
143,措备,2024-09-23,19.7,15.2,23.6,,2.8,60.9
143,措备,2024-09-24,19.7,13.6,25.7,,2,75.6
143,措备,2024-09-25,22.5,17.3,28.2,,1.6,74
143,措备,2024-09-26,23.3,18.1,29,,1.2,72.9
143,措备,2024-09-27,23.4,20.4,29.7,,1.7,77.6
143,措备,2024-09-28,21.8,19.2,25.9,.1,1.8,81.6
143,措备,2024-09-29,21.3,17.4,26.1,,2.2,74.1
143,措备,2024-09-30,21.3,15,28.8,,1.1,70.6
143,措备,2024-10-01,21.1,16.6,28.2,,2.4,65.4
143,措备,2024-10-02,17.3,14.3,21.6,,2.9,43.3
143,措备,2024-10-03,16.6,14.1,20.7,9.9,1.9,70.4
143,措备,2024-10-04,17.3,12.6,23.1,,1.7,72.8
143,措备,2024-10-05,17.2,11,23.8,,1.5,75.3
143,措备,2024-10-06,18.1,14.6,22.4,3.2,1.2,82.4
143,措备,2024-10-07,17.4,15.9,19.4,.9,1.6,78.8
143,措备,2024-10-08,17.9,13.8,24.6,5.8,1.3,79.8
143,措备,2024-10-09,17.2,13.2,22.4,,1.8,75.3
143,措备,2024-10-10,17.5,11.5,24.3,,1.2,71.5
143,措备,2024-10-11,18.1,12.4,25.2,,1.2,70.9
143,措备,2024-10-12,17.8,12.2,25.4,,1.1,68.9
143,措备,2024-10-13,17.9,10.4,24,,2.1,73.3
143,措备,2024-10-14,18.7,16.5,21.7,14.1,.9,85.6
143,措备,2024-10-15,19.1,17.3,21,7.5,1,93.4
143,措备,2024-10-16,19.4,16.4,24.6,,1.6,80.9
143,措备,2024-10-17,18.7,15.2,23.5,,1.6,81.9
143,措备,2024-10-18,20.5,17.6,24.3,16.1,1.5,87.8
143,措备,2024-10-19,17.8,13.2,23,5.4,2.9,84.1
143,措备,2024-10-20,14.4,12.1,15.7,,3.3,57.5
143,措备,2024-10-21,15.2,11.8,17.7,5.3,1.1,77
143,措备,2024-10-22,17.1,15,18.4,23,1,95.3
143,措备,2024-10-23,16.8,12.5,20.4,0,4.1,60.4
143,措备,2024-10-24,13.8,7.6,21,,1.8,66.1
143,措备,2024-10-25,15,8.4,20.6,,1.8,78.6
143,措备,2024-10-26,16.6,12.5,21.6,,1.8,77.4
143,措备,2024-10-27,14.5,10.9,17.4,2.8,1,89
143,措备,2024-10-28,14.6,12.9,16.6,.9,1.6,88
143,措备,2024-10-29,14.5,10.7,19.9,,1.3,76.4
143,措备,2024-10-30,14.7,9.2,22.7,,1.2,76.1
143,措备,2024-10-31,15,9.3,21.3,,1.1,80.3
143,措备,2024-11-01,14,12.6,15.3,13,1.2,94.5
143,措备,2024-11-02,16.2,13,22.5,18.9,1.6,83.4
143,措备,2024-11-03,14.6,9.9,21.7,,1.1,82.5
