"RSTR_FCLTY_NO","YEAR","ARCD","FCLTY_TY","RSTR_NM","DTL_ADRES","AR","USE_PSBL_NMPR","COLR_HOLD_ELEFN","COLR_HOLD_ARCNDTN","CHCK_MATTER_NIGHT_OPN_AT","INPT_TIME","MODF_TIME","RM","RN_DTL_ADRES","CHCK_MATTER_WKEND_HDAY_OPN_AT","MNGDPT_CD","CHCK_MATTER_STAYNG_PSBL_AT","XCORD","YCORD","LO","LA","DTL_POSITION","WKDAY_OPER_BEGIN_TIME","WKDAY_OPER_END_TIME","WKEND_HDAY_OPER_BEGIN_TIME","WKEND_HDAY_OPER_END_TIME","FCLTY_SCLAS"
"쉼터시설번호","년도","지역코드","시설유형 중분류","쉼터명칭","상세주소","면적","이용가능인원","냉방기보유선풍기","냉방기보유에어컨","점검사항야간개방여부","입력시간","수정시간","비고","도로명상세주소","점검사항주말휴일개방여부","관리부서코드","점검사항숙박가능여부","X좌표","Y좌표","경도","위도","위치상세","평일운영시작시간","평일운영종료시간","주말휴일운영시작시간","주말휴일운영종료시간","시설유형 소분류"
"46840330","2026","4684036000","003","토치경로당","985-7","70","20","3","1","N","2021-03-18 11:08:09.000","2025-07-25 09:21:08.000","","전라남도 무안군 해제면 토치길 69 ","N","4950148","N","","","126.3096978","35.1118165","","0800","2000","0800","2000","001"
"4423001023","2026","4423051000","003","화지5통경로당","16-0","60","15","2","1","Y","2021-05-20 15:57:13.000","2026-06-04 14:07:48.000","","충청남도 논산시 해월로259번길 14","N","4540265","N","","","127.09384","36.2105637","","0900","1800","0900","1800","001"
"45800072","2026","5280025000","003","신흥경로당(부안읍)","78-9","84.3","21","1","1","Y","2021-02-04 14:24:42.000","2025-11-13 09:09:36.000","","전북특별자치도 부안군 부안읍 신흥길 53-2 (신흥경로당)","Y","4791038","N","","","126.728495","35.705027","","0000","2300","0000","2300","001"
"48850017","2026","4885035000","003","잔너리(조진)마을회관","137-0","72","23","2","1","N","2021-03-08 09:17:33.000","2026-06-05 14:01:06.000","","경상남도 하동군 고전면 잔너리길 85","N","5440176","N","","","127.8248766","35.0089147","","0900","1800","1000","2200","001"
"31710302","2026","3171026500","003","연봉경로당","937-45","99.96","23","3","2","N","2021-03-15 11:34:38.000","2026-03-31 10:20:44.000","","울산광역시 울주군 삼남읍 반구대로 182","N","3730029","N","","","129.0965007","35.5139725","","1000","1800","1000","1800","001"
"47820009","2026","4782025000","003","동상리","137-0","96.54","24","2","1","N","2021-03-19 16:06:03.000","2026-04-04 21:13:37.000","","경상북도 청도군 화양읍 동상길 13 ","N","5190106","N","1109302.382492","1739822.481505","128.7073874","35.6485283","","1100","1800","1100","1800","001"
"47820010","2026","4782025000","003","범곡1리","792-0","160.04","40","2","1","N","2021-03-19 16:06:03.000","2026-04-04 21:13:37.000","","경상북도 청도군 화양읍 범곡길 54 ","N","5190106","N","1110703.797673","1739659.188011","128.7228423","35.6469001","","1100","1800","1100","1800","001"
"28200183","2026","2820069000","001","논현1동행정복지센터","603-5","1999","30","0","4","N","2021-03-08 09:03:04.000","2026-05-13 11:54:25.000","","인천광역시 남동구 소래역로 115","N","3530199","N","","","126.729293","37.4056513","","0900","1800","","","001"
"4885100","2026","4885032000","003","덕계경로당","1085-0","83.6","31","2","1","N","2021-03-08 09:19:30.000","2026-06-05 14:01:05.000","","경상남도 하동군 악양면 덕계길 11-12","N","5440176","N","","","127.7093526","35.1538221","","0900","1800","1000","2200","001"
"4511413","2026","5211364200","003","용소경로당","774-36","31.74","7","2","2","N","2021-04-13 14:33:00.000","2026-05-01 19:11:25.000","","전북특별자치도 전주시 덕진구 송천3길 6-9 (송천동1가)","N","4641044","N","","","127.1196458","35.8614003","","1200","1800","","","001"
"501338","2026","5013025300","003","남원LH아파트경로당","2494-0","97.67","29","4","1","Y","2021-03-09 10:55:44.000","2026-05-12 19:15:44.000","","제주특별자치도 서귀포시 남원읍 남원체육관로 342 (서귀포남원엘에이치아파트)","Y","6520186","N","","","126.7220592","33.2811086","","0900","1800","0900","1800","001"
"45191271","2026","5219041000","003","태평마을노인시설","721-4","136","34","3","1","N","2021-03-19 16:46:15.000","2026-05-04 13:27:39.000","","전북특별자치도 남원시 산동면 태평길 23-8","N","4701055","N","","","127.4704658","35.4921851","","0900","1800","","","001"
"46880257","2026","4688039000","003","용산경로당","393-1","74","19","1","1","N","2021-04-07 13:24:52.000","2026-06-04 10:58:19.000","","전라남도 장성군 북이면개화길 22","N","4980130","N","","","126.779888","35.441524","","0900","1800","0900","1800","001"
"3114096","2026","3114060000","004","신한은행울산법원","1415-0","250","20","2","2","N","2021-03-05 17:17:49.000","2025-05-13 20:50:19.000","","울산광역시 남구 법대로 55 (옥동)","N","6310419","N","","","129.2879248","35.5393591","","0900","1600","","","001"
"48850178","2026","4885033000","003","율곡경로당","764-4","72","18","2","1","N","2021-03-08 09:20:09.000","2026-06-05 14:01:05.000","","경상남도 하동군 적량면 율곡길 100","N","5440176","N","","","127.7604331","35.0854131","","0900","1800","1000","2200","001"
"41590008","2026","4159025300","001","봉담도서관","27-49","4605","139","0","82","","2021-03-10 10:33:42.000","2026-05-04 15:02:18.000","매월 첫째, 셋째 월요일, 공휴일 미운영, 화성시문화관광재단 창립기념일(12/23) 미운영","경기도 화성시 효행구 봉담읍 샘마을1길 8-4 (화성시립봉담도서관)","Y","5530583","","","","126.94905","37.219486","","0900","1800","0900","1800","002"
"458175","2026","5279035000","003","상수경로당","121-4","62.1","20","2","1","N","2021-03-04 09:12:08.000","2026-05-14 18:20:49.000","경로당 내부규정에 의한 탄력적 운영","전북특별자치도 고창군 상하면 상수2길 33 (상수경로당)","N","4781058","N","","","126.511501","35.460834","","0900","1800","1000","1700","001"
"458101","2026","5279034000","003","신대경로당(공음)","신대리 261-4 신대리노인회관","101.5","19","5","1","N","2021-03-04 09:12:08.000","2026-05-14 18:20:49.000","경로당 내부규정에 의한 탄력적 운영","전북특별자치도 고창군 공음면 신대길  135 , 신대리노인회관","N","4781058","N","","","126.5307683","35.3991772","","0900","1800","1000","1700","001"
"458102","2026","5279034000","003","장동경로당(공음)","구암리 1182-1 장동마을회관","88.63","22","2","1","N","2021-03-04 09:12:08.000","2026-05-14 18:20:49.000","경로당 내부규정에 의한 탄력적 운영","전북특별자치도 고창군 공음면 구암장동길  3 , 장동마을회관","N","4781058","N","","","126.5000873","35.3977093","","0900","1800","1000","1700","001"
"4481000366","2026","4481025000","003","수철리경로당","176-8","87.03","50","1","1","N","2023-05-18 16:57:57.000","2025-11-10 20:02:14.000","","충청남도 예산군 예산읍 수철길 460 ","N","4610140","N","","","126.8843329","36.7055563","","0900","1800","0900","1800","001"
"4423000704","2026","4423032000","003","중2리안터경로당","229-0","40","10","2","1","Y","2021-05-20 15:57:13.000","2026-06-04 14:07:46.000","","충청남도 논산시 광석면 사계로333번길 84","N","4540265","N","","","127.0674011","36.2471437","","0900","1800","0900","1800","001"
"26320032","2026","2632053000","003","조성협진아파트경로당","97-11","180","10","1","1","N","2021-01-26 11:06:42.000","2026-03-31 17:30:14.000","","부산광역시 북구 효열로162번길 41","N","3320095","N","","","129.01984","35.2615272","","1000","1700","1000","1700","001"
"26320033","2026","2632053000","003","금곡5단지(금오)경로당","1112-2","114.5","13","1","1","N","2021-01-26 11:06:42.000","2026-03-31 17:30:14.000","","부산광역시 북구 효열로37번길 22","N","3320095","N","","","129.0134249","35.2500101","","1000","1700","1000","1700","001"
"4889327","2026","4889041000","003","남암경로당","161-0","67","16","1","1","N","2021-03-05 17:53:24.000","2025-07-12 12:55:05.000","","경상남도 합천군 대양면 남암길 88","N","5480120","Y","","","128.1891194","35.5084306","","0900","1800","0900","1800","001"
"27140017","2026","2714054000","003","성동경로당","326-6","165","41","5","1","N","2021-03-10 11:44:43.000","2026-05-29 17:44:31.000","","대구광역시 동구 아양로34길 18-3 (신암동)","Y","3420179","N","","","128.6305031","35.8841149","","1300","1700","1300","1700","001"
"4480000327","2026","4480037000","003","소도경로당","83-0","100","25","1","1","N","2021-07-19 14:14:02.000","2025-04-30 17:10:49.000","","충청남도 홍성군 서부면남당항로98번길 43-24","N","4600185","N","","","126.484649","36.5370649","","0900","1800","0900","1800","001"
"41480243","2026","4148053000","003","맥금14통경로당","384-3","64","35","2","1","N","2021-04-29 15:43:35.000","2025-11-07 14:29:07.000","","경기도 파주시 방촌로326번길 9 (맥금동)","N","4060513","N","","","126.7266459","37.7747922","","0900","1800","0900","1800","001"
"41480244","2026","4148053000","003","검산9통경로당","267-3","81","20","0","1","N","2021-04-29 15:43:35.000","2025-11-07 14:29:19.000","","경기도 파주시 평화로342번길 42","N","4060513","N","","","126.74546","37.774095","","0900","1800","0900","1800","001"
"41480245","2026","4148053000","003","검산9통할머니경로당","267-3","100","20","0","1","N","2021-04-29 15:43:35.000","2025-11-07 14:29:29.000","","경기도 파주시 평화로342번길 42","N","4060513","N","","","126.74546","37.774095","","0900","1800","0900","1800","001"
"47720123","2026","2772034000","003","이화1리경로당","1563-0","73.48","18","2","1","N","2021-03-08 17:09:29.000","2026-04-28 17:19:23.000","","대구광역시 군위군 우보면 이화1길 26-9 ","N","5141014","N","1104255.999067","1800416.571677","128.6596012","36.1952827","","0900","2000","0700","2200","001"
