"RSTR_FCLTY_NO","YEAR","ARCD","FCLTY_TY","RSTR_NM","DTL_ADRES","AR","USE_PSBL_NMPR","COLR_HOLD_ELEFN","COLR_HOLD_ARCNDTN","CHCK_MATTER_NIGHT_OPN_AT","INPT_TIME","MODF_TIME","RM","RN_DTL_ADRES","CHCK_MATTER_WKEND_HDAY_OPN_AT","MNGDPT_CD","CHCK_MATTER_STAYNG_PSBL_AT","XCORD","YCORD","LO","LA","DTL_POSITION","WKDAY_OPER_BEGIN_TIME","WKDAY_OPER_END_TIME","WKEND_HDAY_OPER_BEGIN_TIME","WKEND_HDAY_OPER_END_TIME","FCLTY_SCLAS"
"쉼터시설번호","년도","지역코드","시설유형 중분류","쉼터명칭","상세주소","면적","이용가능인원","냉방기보유선풍기","냉방기보유에어컨","점검사항야간개방여부","입력시간","수정시간","비고","도로명상세주소","점검사항주말휴일개방여부","관리부서코드","점검사항숙박가능여부","X좌표","Y좌표","경도","위도","위치상세","평일운영시작시간","평일운영종료시간","주말휴일운영시작시간","주말휴일운영종료시간","시설유형 소분류"
"46860383","2026","4686038000","003","덕령경로당","118-0","85","29","1","1","Y","2021-02-26 11:01:50.000","2026-06-02 13:04:44.000","","전라남도 함평군 월야면덕령길 22","Y","4960117","N","","","126.6427252","35.1646202","","0900","1800","0900","1800","001"
"43130186","2026","4313038500","003","하가흥경로당","222-19","90","22","1","3","N","2021-02-25 09:38:45.000","2025-05-14 11:03:58.000","","충청북도 충주시 중앙탑면가곡로 2066","N","4390176","N","","","127.857099","37.075085","","1300","1700","1300","1700","001"
"48880223","2026","4888037000","002","외춘","326-0","20","6","0","0","N","2021-04-26 13:38:10.000","2026-05-13 21:53:29.000","","경상남도 거창군 남상면 춘전길 14-6","N","5470037","N","1031934.416599","1731798.356934","127.8524718","35.5817156","외춘마을 회관 앞","1800","1800","","","002"
"48850350","2026","4885034000","003","마치경로당","623-0","120.13","38","2","1","N","2021-03-08 09:21:12.000","2026-06-05 14:01:05.000","","경상남도 하동군 횡천면 마치길 17","N","5440176","N","","","127.801474","35.0851248","","0900","1800","1000","2200","001"
"3017000502","2026","3017053500","003","강변들백조아파트경로당","683-0","27.88","30","1","1","N","2021-08-07 13:48:19.000","2025-05-28 15:34:01.000","","대전광역시 서구 구봉로 419","N","3660199","N","","","127.3662","36.3004","","1000","1700","","","001"
"48850354","2026","4885034000","003","상월경로당","98-10","165.6","20","3","1","N","2021-03-08 09:21:12.000","2026-06-05 14:01:05.000","","경상남도 하동군 횡천면 청학로 408","N","5440176","N","","","127.8102378","35.1385104","","0900","1800","1000","2200","001"
"50110069","2026","5011025600","003","하도리면수동경로당","3210-11","138.18","50","1","1","N","2021-03-05 11:20:02.000","2025-07-29 17:22:40.000","","제주특별자치도 제주시 구좌읍면수길 13","N","6510039","N","","","126.86737","33.5220566","","0900","1800","0900","1800","001"
"46730012","2026","4673032000","003","거석경로당","중대리 54-1 대한노인회관","64.87","24","2","1","N","2021-04-27 16:16:31.000","2026-01-08 20:10:28.000","","전라남도 구례군 간전면 거석길  192 , 대한노인회관","N","4870101","N","","","127.6134222","35.1683762","","0900","1800","","","001"
"458104","2026","5279034000","003","마래경로당","구암리 464-2 마래노인회관","36.32","27","2","1","N","2021-03-04 09:12:08.000","2026-05-14 18:20:49.000","","전북특별자치도 고창군 공음면 마래길  15 , 마래노인회관","N","4781058","N","","","126.4940052","35.4085034","","0900","1800","1000","1700","001"
"4476000438","2026","4476043000","003","가회4리경로당","29-40","99.22","15","2","1","N","2021-07-27 16:39:48.000","2026-01-05 12:31:23.000","","충청남도 부여군 세도면 부흥로1100번길 18","N","4570150","N","","","126.9954856","36.1567527","","0600","2300","0600","2300","001"
"47170059","2026","4717034000","003","인금1리경로당","482-7","84.86","21","5","2","N","2021-03-16 19:34:55.000","2026-04-29 17:08:25.000","","경상북도 안동시 풍천면 하인금길 2","N","5070303","N","","","128.5570996","36.5225822","","0900","1800","1100","1600","001"
"47170060","2026","4717034000","003","인금2리경로당","768-0","78.9","19","4","2","N","2021-03-16 19:34:55.000","2026-04-29 17:08:25.000","","경상북도 안동시 풍천면 월애길 153 ","N","5070303","N","","","128.5450494","36.5211281","","0900","1800","1100","1600","001"
"43130187","2026","4313038500","003","상가흥경로당","146-4","40","10","1","2","N","2021-02-25 09:38:45.000","2025-05-14 11:04:00.000","","충청북도 충주시 중앙탑면삼친동2길 7-5","N","4390176","N","","","127.861564","37.074937","","1300","1700","1300","1700","001"
